candidate,snr_db,successful,trials,success_rate,coded_bps,occupied_hz
4FSK-10Bd-5Hz,-2,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-4,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-6,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-8,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-10,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-12,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-14,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-16,40,40,1.0,10.0,20
4FSK-10Bd-5Hz,-18,36,40,0.9,10.0,20
4FSK-10Bd-5Hz,-20,11,40,0.275,10.0,20
4FSK-7.5Bd-6.67Hz,-2,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-4,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-6,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-8,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-10,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-12,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-14,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-16,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-18,40,40,1.0,7.5,26.6666668
4FSK-7.5Bd-6.67Hz,-20,40,40,1.0,7.5,26.6666668
8FSK-7.5Bd-5Hz,-2,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-4,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-6,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-8,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-10,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-12,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-14,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-16,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-18,40,40,1.0,11.25,40
8FSK-7.5Bd-5Hz,-20,38,40,0.95,11.25,40
8FSK-5Bd-7.5Hz,-2,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-4,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-6,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-8,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-10,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-12,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-14,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-16,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-18,40,40,1.0,7.5,60.0
8FSK-5Bd-7.5Hz,-20,40,40,1.0,7.5,60.0
8FSK-15Bd-2.5Hz (v0.1 original),-2,40,40,1.0,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-4,40,40,1.0,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-6,40,40,1.0,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-8,37,40,0.925,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-10,22,40,0.55,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-12,3,40,0.075,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-14,0,40,0.0,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-16,0,40,0.0,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-18,0,40,0.0,22.5,20.0
8FSK-15Bd-2.5Hz (v0.1 original),-20,0,40,0.0,22.5,20.0
