candidate,snr_db,successful,trials,success_rate,coded_bps,occupied_hz
WINK-N 8FSK-15Bd-15Hz,-2,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-4,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-6,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-8,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-10,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-12,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-14,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-16,30,30,1.0,22.5,120
WINK-N 8FSK-15Bd-15Hz,-18,27,30,0.9,22.5,120
WINK-F 8FSK-30Bd-30Hz,-2,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-4,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-6,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-8,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-10,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-12,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-14,30,30,1.0,45.0,240
WINK-F 8FSK-30Bd-30Hz,-16,10,30,0.3333333333333333,45.0,240
WINK-F 8FSK-30Bd-30Hz,-18,0,30,0.0,45.0,240
