candidate,snr_db,successful,trials,success_rate
4FSK-7.5Bd-6.67Hz,-20,60,60,1.0
4FSK-7.5Bd-6.67Hz,-21,58,60,0.9666666666666667
4FSK-7.5Bd-6.67Hz,-22,37,60,0.6166666666666667
4FSK-7.5Bd-6.67Hz,-23,4,60,0.06666666666666667
4FSK-7.5Bd-6.67Hz,-24,0,60,0.0
4FSK-7.5Bd-6.67Hz,-25,0,60,0.0
4FSK-7.5Bd-6.67Hz,-26,0,60,0.0
4FSK-7.5Bd-6.67Hz,-27,0,60,0.0
4FSK-7.5Bd-6.67Hz,-28,0,60,0.0
4FSK-7.5Bd-6.67Hz,-30,0,60,0.0
4FSK-7.5Bd-6.67Hz,-32,0,60,0.0
4FSK-7.5Bd-6.67Hz,-35,0,60,0.0
8FSK-5Bd-7.5Hz,-20,60,60,1.0
8FSK-5Bd-7.5Hz,-21,60,60,1.0
8FSK-5Bd-7.5Hz,-22,56,60,0.9333333333333333
8FSK-5Bd-7.5Hz,-23,40,60,0.6666666666666666
8FSK-5Bd-7.5Hz,-24,5,60,0.08333333333333333
8FSK-5Bd-7.5Hz,-25,0,60,0.0
8FSK-5Bd-7.5Hz,-26,0,60,0.0
8FSK-5Bd-7.5Hz,-27,0,60,0.0
8FSK-5Bd-7.5Hz,-28,0,60,0.0
8FSK-5Bd-7.5Hz,-30,0,60,0.0
8FSK-5Bd-7.5Hz,-32,0,60,0.0
8FSK-5Bd-7.5Hz,-35,0,60,0.0
