mode,snr_db,successful,trials,success_rate
FT8,-23,0,24,0.0
FT8,-22,4,24,0.16666666666666666
FT8,-21,8,24,0.3333333333333333
FT8,-20,15,24,0.625
FT8,-19,19,24,0.7916666666666666
WINK-S,-24,0,24,0.0
WINK-S,-23,0,24,0.0
WINK-S,-22,9,24,0.375
WINK-S,-21,16,24,0.6666666666666666
WINK-N,-19,1,24,0.041666666666666664
WINK-N,-18,3,24,0.125
WINK-N,-17,16,24,0.6666666666666666
WINK-N,-16,20,24,0.8333333333333334
WINK-F,-16,0,24,0.0
WINK-F,-15,3,24,0.125
WINK-F,-14,10,24,0.4166666666666667
WINK-F,-13,20,24,0.8333333333333334
