fec,llr_mode,snr_db,successful,trials,success_rate
K7,hard,-20,60,60,1.0
K7,hard,-21,60,60,1.0
K7,hard,-22,59,60,0.9833333333333333
K7,hard,-23,34,60,0.5666666666666667
K7,hard,-24,8,60,0.13333333333333333
K7,hard,-25,0,60,0.0
K7,hard,-26,0,60,0.0
K7,hard,-27,0,60,0.0
K7,hard,-28,0,60,0.0
K7,hard,-29,0,60,0.0
K7,hard,-30,0,60,0.0
K7,soft,-20,60,60,1.0
K7,soft,-21,60,60,1.0
K7,soft,-22,60,60,1.0
K7,soft,-23,55,60,0.9166666666666666
K7,soft,-24,31,60,0.5166666666666667
K7,soft,-25,1,60,0.016666666666666666
K7,soft,-26,0,60,0.0
K7,soft,-27,0,60,0.0
K7,soft,-28,0,60,0.0
K7,soft,-29,0,60,0.0
K7,soft,-30,0,60,0.0
K9,hard,-20,60,60,1.0
K9,hard,-21,60,60,1.0
K9,hard,-22,60,60,1.0
K9,hard,-23,52,60,0.8666666666666667
K9,hard,-24,17,60,0.2833333333333333
K9,hard,-25,0,60,0.0
K9,hard,-26,0,60,0.0
K9,hard,-27,0,60,0.0
K9,hard,-28,0,60,0.0
K9,hard,-29,0,60,0.0
K9,hard,-30,0,60,0.0
K9,soft,-20,60,60,1.0
K9,soft,-21,60,60,1.0
K9,soft,-22,59,60,0.9833333333333333
K9,soft,-23,59,60,0.9833333333333333
K9,soft,-24,40,60,0.6666666666666666
K9,soft,-25,3,60,0.05
K9,soft,-26,0,60,0.0
K9,soft,-27,0,60,0.0
K9,soft,-28,0,60,0.0
K9,soft,-29,0,60,0.0
K9,soft,-30,0,60,0.0
